Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
response to light stimulus [GO:0009416],20,7,0.8315944427350594,0.9205666310621526,0.35,Q84JF5/Q93WF6/Q9C690/Q9LZK4/Q9MA55/Q9MAM3/Q39066,BP
circadian rhythm [GO:0007623],11,2,0.22917890533610485,0.8619298245614037,0.182,Q84JW1/Q9C9L2,BP
peroxisome fission [GO:0016559],2,2,0.9448649324662332,0.961499878460357,1,Q84JW1/Q94CK3,BP
peroxisome organization [GO:0007031],1,1,0.7650000000000001,0.8619298245614037,1,Q84JW1,BP
regulation of peroxisome size [GO:0044375],1,1,0.7650000000000001,0.8619298245614037,1,Q84JW1,BP
nucleotide-excision repair [GO:0006289],4,2,0.763445545579071,0.8619298245614037,0.5,Q84L31/Q9FNY7,BP
response to UV [GO:0009411],2,1,0.5851350675337672,0.8619298245614037,0.5,Q84L31,BP
UV protection [GO:0009650],2,1,0.5851350675337672,0.8619298245614037,0.5,Q84L31,BP
regulation of jasmonic acid metabolic process [GO:0080140],1,1,0.7650000000000001,0.8619298245614037,1,Q84MB5,BP
jasmonic acid biosynthetic process [GO:0009695],4,1,0.3421723945110777,0.8619298245614037,0.25,Q84P21,BP
arachidonic acid secretion [GO:0050482],1,1,0.7650000000000001,0.8619298245614037,1,Q8GV50,BP
lipid catabolic process [GO:0016042],21,5,0.42865097258631,0.8619298245614037,0.238,Q8GV50/Q9T051/O22927/Q9FIA1/Q9SF94,BP
phospholipid metabolic process [GO:0006644],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8GV50,BP
pollen germination [GO:0009846],5,3,0.9119253360481759,0.956611332551444,0.6,Q8GV50/Q8S4Y1/O49323,BP
pollen tube growth [GO:0009860],17,5,0.6313547063948077,0.8619298245614037,0.294,Q8GV50/Q8S4Y1/Q94FL7/O80483/Q6NMI3,BP
endoplasmic reticulum unfolded protein response [GO:0030968],6,1,0.19997048932111194,0.8619298245614037,0.167,Q8GWH3,BP
ERAD pathway [GO:0036503],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8GWH3,BP
negative regulation of gibberellic acid mediated signaling pathway [GO:0009938],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8GXW1,BP
negative regulation of seed germination [GO:0010187],7,1,0.15283602092546367,0.8619298245614037,0.143,Q8GXW1,BP
regulation of seed dormancy process [GO:2000033],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8GXW1,BP
regulation of seed germination [GO:0010029],7,2,0.4827772996950015,0.8619298245614037,0.286,Q8GXW1/Q9SLD2,BP
response to gibberellin [GO:0009739],12,3,0.43798690356237846,0.8619298245614037,0.25,Q8GXW1/Q9FK13/Q9FG05,BP
photosynthetic electron transport in photosystem I [GO:0009773],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8GYC7,BP
DNA-templated transcription [GO:0006351],13,4,0.6346109340853084,0.8619298245614037,0.308,Q8GZ13/Q6NLH0/O81097/Q9SVY0,BP
positive regulation of shade avoidance [GO:1902448],1,1,0.7650000000000001,0.8619298245614037,1,Q8GZ13,BP
regulation of phenylpropanoid metabolic process [GO:2000762],1,1,0.7650000000000001,0.8619298245614037,1,Q8GZ13,BP
regulation of protein serine/threonine phosphatase activity [GO:0080163],1,1,0.7650000000000001,0.8619298245614037,1,Q8H1R0,BP
photosystem II assembly [GO:0010207],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8L540,BP
developmental process involved in reproduction [GO:0003006],1,1,0.7650000000000001,0.8619298245614037,1,Q8L796,BP
lateral root formation [GO:0010311],4,1,0.3421723945110777,0.8619298245614037,0.25,Q8L796,BP
phosphatidylinositol metabolic process [GO:0046488],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8L796,BP
phosphorylation [GO:0016310],22,5,0.38325930120023566,0.8619298245614037,0.227,Q8L796/Q8VYB2/Q9S750/O82359/O65595,BP
brassinosteroid mediated signaling pathway [GO:0009742],12,3,0.43798690356237846,0.8619298245614037,0.25,Q8L7U5/Q9LVM5/Q9SKD9,BP
chorismate metabolic process [GO:0046417],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8LPN3,BP
folic acid biosynthetic process [GO:0046656],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8LPN3,BP
glutamine metabolic process [GO:0006541],4,1,0.3421723945110777,0.8619298245614037,0.25,Q8LPN3,BP
para-aminobenzoic acid biosynthetic process [GO:0008153],1,1,0.7650000000000001,0.8619298245614037,1,Q8LPN3,BP
tetrahydrofolate biosynthetic process [GO:0046654],3,1,0.44749068227807576,0.8619298245614037,0.333,Q8LPN3,BP
cellular response to abscisic acid stimulus [GO:0071215],5,3,0.9119253360481759,0.956611332551444,0.6,Q8RWS1/Q9C690/Q9FNA4,BP
cellular response to brassinosteroid stimulus [GO:0071367],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8RWS1,BP
cellular response to ethylene stimulus [GO:0071369],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8RWS1,BP
positive regulation of organ growth [GO:0046622],1,1,0.7650000000000001,0.8619298245614037,1,Q8RWS1,BP
post-embryonic plant organ development [GO:0090696],1,1,0.7650000000000001,0.8619298245614037,1,Q8RWS1,BP
regulation of cell division [GO:0051302],8,1,0.11679340685874628,0.8619298245614037,0.125,Q8RWS1,BP
regulation of cell growth [GO:0001558],4,1,0.3421723945110777,0.8619298245614037,0.25,Q8RWS1,BP
adenosine catabolic process [GO:0006154],1,1,0.7650000000000001,0.8619298245614037,1,Q8RY23,BP
inosine catabolic process [GO:0006148],1,1,0.7650000000000001,0.8619298245614037,1,Q8RY23,BP
potassium ion transport [GO:0006813],8,2,0.4051343193924861,0.8619298245614037,0.25,Q8S396/Q9SIT5,BP
regulation of pH [GO:0006885],3,2,0.8604238380451487,0.9205666310621526,0.667,Q8S396/Q9SIT5,BP
sterol metabolic process [GO:0016125],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8S4Y1,BP
plastoquinone biosynthetic process [GO:0010236],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8S948,BP
protein catabolic process [GO:0030163],4,2,0.763445545579071,0.8619298245614037,0.5,Q8VWK0/Q8GYA6,BP
cellular response to hypoxia [GO:0071456],24,3,0.05451675833020864,0.8619298245614037,0.125,Q8VYB2/Q9SKD9/Q84VY3,BP
CTP salvage [GO:0044211],1,1,0.7650000000000001,0.8619298245614037,1,Q8VYB2,BP
UMP salvage [GO:0044206],1,1,0.7650000000000001,0.8619298245614037,1,Q8VYB2,BP
fatty acid elongation [GO:0030497],1,1,0.7650000000000001,0.8619298245614037,1,Q8VZB2,BP
sphingolipid biosynthetic process [GO:0030148],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8VZB2,BP
positive regulation of DNA endoreduplication [GO:0032877],2,1,0.5851350675337672,0.8619298245614037,0.5,Q8VZS9,BP
positive regulation of ubiquitin protein ligase activity [GO:1904668],1,1,0.7650000000000001,0.8619298245614037,1,Q8VZS9,BP
de-etiolation [GO:0009704],4,1,0.3421723945110777,0.8619298245614037,0.25,Q8W2F3,BP
phototropism [GO:0009638],3,1,0.44749068227807576,0.8619298245614037,0.333,Q8W2F3,BP
positive regulation of thermomorphogenesis [GO:0140922],1,1,0.7650000000000001,0.8619298245614037,1,Q8W2F3,BP
red light signaling pathway [GO:0010161],1,1,0.7650000000000001,0.8619298245614037,1,Q8W2F3,BP
regulation of auxin biosynthetic process [GO:0010600],1,1,0.7650000000000001,0.8619298245614037,1,Q8W2F3,BP
regulation of plant organ morphogenesis [GO:1905421],1,1,0.7650000000000001,0.8619298245614037,1,Q8W2F3,BP
regulation of transcription by RNA polymerase II [GO:0006357],9,2,0.3372468254274641,0.8619298245614037,0.222,Q8W2F3/C0SUW7,BP
response to low fluence blue light stimulus by blue low-fluence system [GO:0010244],1,1,0.7650000000000001,0.8619298245614037,1,Q8W2F3,BP
response to temperature stimulus [GO:0009266],3,1,0.44749068227807576,0.8619298245614037,0.333,Q8W2F3,BP
actin filament bundle assembly [GO:0051017],2,2,0.9448649324662332,0.961499878460357,1,Q8W4E2/O49606,BP
actin filament capping [GO:0051693],1,1,0.7650000000000001,0.8619298245614037,1,Q8W4E2,BP
ATP metabolic process [GO:0046034],1,1,0.7650000000000001,0.8619298245614037,1,Q8W4E2,BP
negative regulation of actin filament depolymerization [GO:0030835],1,1,0.7650000000000001,0.8619298245614037,1,Q8W4E2,BP
cellular response to water deprivation [GO:0042631],7,4,0.9427856087861533,0.961499878460357,0.571,Q93WF6/Q945Q1/Q94C77/Q9SRV1,BP
regulation of defense response to bacterium [GO:1900424],2,1,0.5851350675337672,0.8619298245614037,0.5,Q93WF6,BP
response to absence of light [GO:0009646],6,1,0.19997048932111194,0.8619298245614037,0.167,Q93WF6,BP
response to fungus [GO:0009620],16,3,0.23609647686727153,0.8619298245614037,0.188,Q93WF6/O81815/Q944S3,BP
response to hydrogen peroxide [GO:0042542],5,1,0.26160073848893006,0.8619298245614037,0.2,Q93WF6,BP
response to insect [GO:0009625],5,2,0.6644590185996676,0.8619298245614037,0.4,Q93WF6/Q949U1,BP
response to reactive oxygen species [GO:0000302],2,2,0.9448649324662332,0.961499878460357,1,Q93WF6/Q6J9S1,BP
response to water deprivation [GO:0009414],34,6,0.15421262112518463,0.8619298245614037,0.176,Q93WF6/Q9C690/Q9SM02/O04036/Q39084/Q9FNN9,BP
protein N-linked glycosylation [GO:0006487],2,1,0.5851350675337672,0.8619298245614037,0.5,Q93Z16,BP
integrin-mediated signaling pathway [GO:0007229],1,1,0.7650000000000001,0.8619298245614037,1,Q93Z30,BP
regulation of stomatal movement [GO:0010119],7,2,0.4827772996950015,0.8619298245614037,0.286,Q93Z30/Q9C690,BP
response to blue light [GO:0009637],3,1,0.44749068227807576,0.8619298245614037,0.333,Q93Z30,BP
melatonin metabolic process [GO:0030186],1,1,0.7650000000000001,0.8619298245614037,1,Q941D6,BP
protein deacetylation [GO:0006476],1,1,0.7650000000000001,0.8619298245614037,1,Q941D6,BP
"regulation of photosynthesis, light reaction [GO:0042548]",2,1,0.5851350675337672,0.8619298245614037,0.5,Q941D6,BP
tubulin deacetylation [GO:0090042],1,1,0.7650000000000001,0.8619298245614037,1,Q941D6,BP
positive regulation of flower development [GO:0009911],2,1,0.5851350675337672,0.8619298245614037,0.5,Q944Q0,BP
regulation of flower development [GO:0009909],9,2,0.3372468254274641,0.8619298245614037,0.222,Q944Q0/Q8L8S2,BP
vegetative to reproductive phase transition of meristem [GO:0010228],7,1,0.15283602092546367,0.8619298245614037,0.143,Q944Q0,BP
isocitrate metabolic process [GO:0006102],2,1,0.5851350675337672,0.8619298245614037,0.5,Q945K7,BP
stomatal closure [GO:0090332],2,1,0.5851350675337672,0.8619298245614037,0.5,Q945P1,BP
coenzyme A biosynthetic process [GO:0015937],1,1,0.7650000000000001,0.8619298245614037,1,Q949P3,BP
RNA splicing [GO:0008380],16,5,0.683945553994777,0.8619298245614037,0.312,Q949S9/Q9LNC5/Q9LFN6/Q6ICX4/Q9SHY8,BP
glucosinolate biosynthetic process [GO:0019761],5,3,0.9119253360481759,0.956611332551444,0.6,Q949U1/Q9C9C9/Q9FWW6,BP
DNA duplex unwinding [GO:0032508],1,1,0.7650000000000001,0.8619298245614037,1,Q94C69,BP
protein insertion into mitochondrial inner membrane [GO:0045039],2,1,0.5851350675337672,0.8619298245614037,0.5,Q94EH2,BP
protein targeting to chloroplast [GO:0045036],3,1,0.44749068227807576,0.8619298245614037,0.333,Q94EH2,BP
DNA methylation-dependent heterochromatin formation [GO:0006346],4,1,0.3421723945110777,0.8619298245614037,0.25,Q94F88,BP
"negative regulation of gene expression, epigenetic [GO:0045814]",6,1,0.19997048932111194,0.8619298245614037,0.167,Q94F88,BP
zygote asymmetric cytokinesis in embryo sac [GO:0010069],1,1,0.7650000000000001,0.8619298245614037,1,Q94F88,BP
pollen sperm cell differentiation [GO:0048235],5,1,0.26160073848893006,0.8619298245614037,0.2,Q94FL7,BP
regulation of gene expression [GO:0010468],12,4,0.6949813629177926,0.8619298245614037,0.333,Q94FL7/Q9C690/Q9FFG0/Q9M0R0,BP
regulation of pollen tube growth [GO:0080092],4,1,0.3421723945110777,0.8619298245614037,0.25,Q94FL7,BP
circadian regulation of gene expression [GO:0032922],1,1,0.7650000000000001,0.8619298245614037,1,Q9C5J9,BP
photomorphogenesis [GO:0009640],2,2,0.9448649324662332,0.961499878460357,1,Q9C5J9/Q9LDL7,BP
cuticle development [GO:0042335],4,2,0.763445545579071,0.8619298245614037,0.5,Q9C690/Q9M2U2,BP
regulation of potassium ion import [GO:1903286],1,1,0.7650000000000001,0.8619298245614037,1,Q9C690,BP
regulation of stomatal opening [GO:1902456],1,1,0.7650000000000001,0.8619298245614037,1,Q9C690,BP
signal peptide processing [GO:0006465],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9C9C0,BP
DNA endoreduplication [GO:0042023],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9C9L2,BP
gynoecium development [GO:0048467],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9C9L2,BP
inflorescence development [GO:0010229],1,1,0.7650000000000001,0.8619298245614037,1,Q9C9L2,BP
regulation of anthocyanin biosynthetic process [GO:0031540],1,1,0.7650000000000001,0.8619298245614037,1,Q9C9L2,BP
stamen filament development [GO:0080086],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9C9L2,BP
cell wall organization [GO:0071555],36,6,0.11672942203099823,0.8619298245614037,0.167,Q9C9X0/Q8L9A9/Q8RXE1/O23386/O49323/Q9FN79,BP
cytoskeleton organization [GO:0007010],1,1,0.7650000000000001,0.8619298245614037,1,Q9C9X0,BP
xylem and phloem pattern formation [GO:0010051],4,1,0.3421723945110777,0.8619298245614037,0.25,Q9C9X0,BP
oxidative photosynthetic carbon pathway [GO:0009854],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9CA90,BP
meiotic attachment of telomere to nuclear envelope [GO:0070197],1,1,0.7650000000000001,0.8619298245614037,1,Q9FF75,BP
nucleus organization [GO:0006997],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9FF75,BP
protein heterooligomerization [GO:0051291],1,1,0.7650000000000001,0.8619298245614037,1,Q9FF75,BP
protein homooligomerization [GO:0051260],7,2,0.4827772996950015,0.8619298245614037,0.286,Q9FF75/O65555,BP
protein localization to nuclear envelope [GO:0090435],1,1,0.7650000000000001,0.8619298245614037,1,Q9FF75,BP
regulation of establishment or maintenance of cell polarity regulating cell shape [GO:2000769],1,1,0.7650000000000001,0.8619298245614037,1,Q9FF75,BP
aerobic respiration [GO:0009060],1,1,0.7650000000000001,0.8619298245614037,1,Q9FGS4,BP
NAD biosynthetic process [GO:0009435],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9FGS4,BP
positive regulation of sulfur metabolic process [GO:0051176],1,1,0.7650000000000001,0.8619298245614037,1,Q9FGS4,BP
chloroplast fission [GO:0010020],4,1,0.3421723945110777,0.8619298245614037,0.25,Q9FK13,BP
blue light signaling pathway [GO:0009785],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9FN02,BP
5-carbamoylmethyl uridine residue modification [GO:0080178],1,1,0.7650000000000001,0.8619298245614037,1,Q9FNA4,BP
fruit morphogenesis [GO:0048530],1,1,0.7650000000000001,0.8619298245614037,1,Q9FNA4,BP
negative regulation of anthocyanin metabolic process [GO:0031538],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9FNA4,BP
organ growth [GO:0035265],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9FNA4,BP
regulation of leaf development [GO:2000024],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9FNA4,BP
tRNA modification [GO:0006400],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9FNA4,BP
tRNA wobble uridine modification [GO:0002098],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9FNA4,BP
base-excision repair [GO:0006284],1,1,0.7650000000000001,0.8619298245614037,1,Q9FNY7,BP
meristem initiation [GO:0010014],1,1,0.7650000000000001,0.8619298245614037,1,Q9FRV4,BP
negative regulation of cell division [GO:0051782],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9FRV4,BP
primary shoot apical meristem specification [GO:0010072],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9FRV4,BP
cellular response to light stimulus [GO:0071482],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9LDH1,BP
positive regulation of DNA-binding transcription factor activity [GO:0051091],1,1,0.7650000000000001,0.8619298245614037,1,Q9LDH1,BP
pollen-stigma interaction [GO:0140301],2,2,0.9448649324662332,0.961499878460357,1,Q9LFL6/Q1PDG8,BP
cotyledon vascular tissue pattern formation [GO:0010588],5,2,0.6644590185996676,0.8619298245614037,0.4,Q9LFU0/Q9SIH2,BP
phloem or xylem histogenesis [GO:0010087],10,4,0.8102941119788122,0.90240847152939,0.4,Q9LFU0/Q8W4K5/Q9SIH2/Q9SZ06,BP
primary root development [GO:0080022],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LFU0,BP
shoot system development [GO:0048367],8,1,0.11679340685874628,0.8619298245614037,0.125,Q9LFU0,BP
floral organ development [GO:0048437],1,1,0.7650000000000001,0.8619298245614037,1,Q9LNC5,BP
regulation of embryo sac egg cell differentiation [GO:0045694],1,1,0.7650000000000001,0.8619298245614037,1,Q9LNC5,BP
jasmonic acid mediated signaling pathway [GO:0009867],13,2,0.15258414410636867,0.8619298245614037,0.154,Q9LNN7/F4J078,BP
regulation of jasmonic acid biosynthetic process [GO:0080141],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LNN7,BP
regulation of salicylic acid biosynthetic process [GO:0080142],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LNN7,BP
response to ozone [GO:0010193],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LNN7,BP
salicylic acid mediated signaling pathway [GO:0009863],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LNN7,BP
anatomical structure morphogenesis [GO:0009653],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LSD5,BP
anther wall tapetum development [GO:0048658],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LSI7,BP
callose localization [GO:0052545],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LSI7,BP
microgametogenesis [GO:0055046],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LSI7,BP
allantoin biosynthetic process [GO:0019428],1,1,0.7650000000000001,0.8619298245614037,1,Q9LVM5,BP
purine nucleobase metabolic process [GO:0006144],1,1,0.7650000000000001,0.8619298245614037,1,Q9LVM5,BP
regulation of brassinosteroid mediated signaling pathway [GO:1900457],2,2,0.9448649324662332,0.961499878460357,1,Q9LVM5/Q9SKD9,BP
regulation of cell growth by extracellular stimulus [GO:0001560],1,1,0.7650000000000001,0.8619298245614037,1,Q9LVM5,BP
regulation of seedling development [GO:1900140],1,1,0.7650000000000001,0.8619298245614037,1,Q9LVM5,BP
response to brassinosteroid [GO:0009741],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LVM5,BP
urate catabolic process [GO:0019628],1,1,0.7650000000000001,0.8619298245614037,1,Q9LVM5,BP
intracellular protein transport [GO:0006886],20,3,0.11692307126314405,0.8619298245614037,0.15,Q9LVP9/Q9CAA0/Q9LUG1,BP
positive regulation of protein transport [GO:0051222],1,1,0.7650000000000001,0.8619298245614037,1,Q9LVP9,BP
vesicle fusion [GO:0006906],1,1,0.7650000000000001,0.8619298245614037,1,Q9LVP9,BP
flavonol biosynthetic process [GO:0051555],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9LZK4,BP
negative regulation of cell population proliferation [GO:0008285],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9LZK4,BP
negative regulation of developmental growth [GO:0048640],1,1,0.7650000000000001,0.8619298245614037,1,Q9LZK4,BP
positive regulation of flavonol biosynthetic process [GO:1900386],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9LZK4,BP
cell surface receptor signaling pathway [GO:0007166],7,1,0.15283602092546367,0.8619298245614037,0.143,Q9M092,BP
fatty acid biosynthetic process [GO:0006633],6,4,0.9699775849533898,0.9767370106325075,0.667,Q9M2U2/P49243/Q84VY3/Q9SUY9,BP
sphingolipid metabolic process [GO:0006665],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9M2U2,BP
trichome branching [GO:0010091],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9M2U2,BP
trichome papilla formation [GO:1905499],1,1,0.7650000000000001,0.8619298245614037,1,Q9M2U2,BP
wax biosynthetic process [GO:0010025],3,2,0.8604238380451487,0.9205666310621526,0.667,Q9M2U2/Q9MAM3,BP
cellular response to cold [GO:0070417],7,2,0.4827772996950015,0.8619298245614037,0.286,Q9MAM3/Q945Q1,BP
DNA biosynthetic process [GO:0071897],1,1,0.7650000000000001,0.8619298245614037,1,Q9S750,BP
double-strand break repair [GO:0006302],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9S750,BP
response to UV-C [GO:0010225],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9S750,BP
phloem development [GO:0010088],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9SAK5,BP
anisotropic cell growth [GO:0051211],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9SJW3,BP
cellular response to salt stress [GO:0071472],4,2,0.763445545579071,0.8619298245614037,0.5,Q9SJW3/Q9SRV1,BP
cortical microtubule organization [GO:0043622],6,2,0.5697519843280208,0.8619298245614037,0.333,Q9SJW3/Q8LGD1,BP
response to salicylic acid [GO:0009751],14,2,0.12373619737726438,0.8619298245614037,0.143,Q9SKD9/Q9FWW6,BP
carbohydrate metabolic process [GO:0005975],18,6,0.7682341227503096,0.8622122775721921,0.333,Q9SLD2/F4HRS2/F4J270/O65458/Q9FMD8/Q9SVS1,BP
glycerol metabolic process [GO:0006071],1,1,0.7650000000000001,0.8619298245614037,1,Q9SLD2,BP
positive regulation of seed germination [GO:0010030],4,2,0.763445545579071,0.8619298245614037,0.5,Q9SLD2/Q94C77,BP
regulation of embryonic development [GO:0045995],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9SLD2,BP
response to glucose [GO:0009749],6,1,0.19997048932111194,0.8619298245614037,0.167,Q9SLD2,BP
triglyceride biosynthetic process [GO:0019432],4,2,0.763445545579071,0.8619298245614037,0.5,Q9SLD2/Q9ZVN2,BP
folic acid-containing compound metabolic process [GO:0006760],1,1,0.7650000000000001,0.8619298245614037,1,Q9SY73,BP
asymmetric cell division [GO:0008356],4,1,0.3421723945110777,0.8619298245614037,0.25,Q9SZF7,BP
leaf development [GO:0048366],12,4,0.6949813629177926,0.8619298245614037,0.333,Q9SZF7/Q700W2/Q9LQN6/Q9SIH2,BP
negative regulation of mitotic cell cycle [GO:0045930],1,1,0.7650000000000001,0.8619298245614037,1,Q9SZF7,BP
radial pattern formation [GO:0009956],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9SZF7,BP
regulation of hormone metabolic process [GO:0032350],1,1,0.7650000000000001,0.8619298245614037,1,Q9SZF7,BP
cell population proliferation [GO:0008283],1,1,0.7650000000000001,0.8619298245614037,1,Q9SZI2,BP
double-strand break repair via homologous recombination [GO:0000724],5,1,0.26160073848893006,0.8619298245614037,0.2,Q9SZI2,BP
nucleosome assembly [GO:0006334],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9SZI2,BP
somatic cell DNA recombination [GO:0016444],1,1,0.7650000000000001,0.8619298245614037,1,Q9SZI2,BP
circumnutation [GO:0010031],3,1,0.44749068227807576,0.8619298245614037,0.333,Q9T041,BP
membrane lipid metabolic process [GO:0006643],1,1,0.7650000000000001,0.8619298245614037,1,Q9T051,BP
phosphatidylcholine metabolic process [GO:0046470],1,1,0.7650000000000001,0.8619298245614037,1,Q9T051,BP
protein import into peroxisome matrix [GO:0016558],1,1,0.7650000000000001,0.8619298245614037,1,Q9XF57,BP
protein targeting to peroxisome [GO:0006625],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9XF57,BP
hyperosmotic response [GO:0006972],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9XGM8,BP
N-glycan processing [GO:0006491],1,1,0.7650000000000001,0.8619298245614037,1,Q9XGM8,BP
protein glycosylation [GO:0006486],8,2,0.4051343193924861,0.8619298245614037,0.25,Q9XGM8/Q8LED0,BP
phytol metabolic process [GO:0033306],1,1,0.7650000000000001,0.8619298245614037,1,Q9ZVN2,BP
plant organ senescence [GO:0090693],2,1,0.5851350675337672,0.8619298245614037,0.5,Q9ZVN2,BP
regulation of phytol biosynthetic process [GO:1904963],1,1,0.7650000000000001,0.8619298245614037,1,Q9ZVN2,BP
regulation of triglyceride biosynthetic process [GO:0010866],1,1,0.7650000000000001,0.8619298245614037,1,Q9ZVN2,BP
glucosinolate metabolic process [GO:0019760],2,1,0.5851350675337672,0.8619298245614037,0.5,C0SUW7,BP
regulation of secondary cell wall biogenesis [GO:2000652],2,1,0.5851350675337672,0.8619298245614037,0.5,F4HNU8,BP
ethylene biosynthetic process [GO:0009693],4,1,0.3421723945110777,0.8619298245614037,0.25,F4HRS2,BP
regulation of ethylene biosynthetic process [GO:0010364],1,1,0.7650000000000001,0.8619298245614037,1,F4HRS2,BP
starch metabolic process [GO:0005982],1,1,0.7650000000000001,0.8619298245614037,1,F4HRS2,BP
trehalose metabolic process [GO:0005991],1,1,0.7650000000000001,0.8619298245614037,1,F4HRS2,BP
tRNA 3'-end processing [GO:0042780],2,1,0.5851350675337672,0.8619298245614037,0.5,F4J1H7,BP
sucrose biosynthetic process [GO:0005986],2,2,0.9448649324662332,0.961499878460357,1,F4JLK2/Q9C8J4,BP
defense response to other organism [GO:0098542],8,2,0.4051343193924861,0.8619298245614037,0.25,O04533/Q9C7R6,BP
hydrotropism [GO:0010274],1,1,0.7650000000000001,0.8619298245614037,1,O22227,BP
cellular response to glucose stimulus [GO:0071333],1,1,0.7650000000000001,0.8619298245614037,1,O23077,BP
phosphate-containing compound metabolic process [GO:0006796],2,1,0.5851350675337672,0.8619298245614037,0.5,O23244,BP
actin filament depolymerization [GO:0030042],2,1,0.5851350675337672,0.8619298245614037,0.5,O49606,BP
actin filament polymerization [GO:0030041],2,1,0.5851350675337672,0.8619298245614037,0.5,O49606,BP
copper ion transport [GO:0006825],1,1,0.7650000000000001,0.8619298245614037,1,O82089,BP
intracellular copper ion homeostasis [GO:0006878],2,1,0.5851350675337672,0.8619298245614037,0.5,O82089,BP
phospholipid biosynthetic process [GO:0008654],3,1,0.44749068227807576,0.8619298245614037,0.333,O82359,BP
phytosphingosine metabolic process [GO:0006671],1,1,0.7650000000000001,0.8619298245614037,1,O82359,BP
mitotic cell cycle phase transition [GO:0044772],2,1,0.5851350675337672,0.8619298245614037,0.5,Q39071,BP
RNA metabolic process [GO:0016070],2,1,0.5851350675337672,0.8619298245614037,0.5,Q39189,BP
plant-type cell wall modification [GO:0009827],2,1,0.5851350675337672,0.8619298245614037,0.5,Q500V2,BP
protein processing [GO:0016485],3,1,0.44749068227807576,0.8619298245614037,0.333,Q56Y85,BP
cellular response to potassium ion [GO:0035865],1,1,0.7650000000000001,0.8619298245614037,1,Q6J9S1,BP
post-embryonic root development [GO:0048528],2,1,0.5851350675337672,0.8619298245614037,0.5,Q6J9S1,BP
negative regulation of reactive oxygen species biosynthetic process [GO:1903427],1,1,0.7650000000000001,0.8619298245614037,1,Q6NLF4,BP
regulation of leaf formation [GO:2000025],1,1,0.7650000000000001,0.8619298245614037,1,Q700W2,BP
monoterpene biosynthetic process [GO:0043693],1,1,0.7650000000000001,0.8619298245614037,1,Q84UV0,BP
terpenoid biosynthetic process [GO:0016114],2,1,0.5851350675337672,0.8619298245614037,0.5,Q84UV0,BP
